name,vacancy,affiliation,latitude,longitude
CHIJ Saint Nicholas Girls' School,20,1,1.3737296730000002,103.83430890000001
Catholic High School,20,1,1.3547888769999998,103.84493409999999
Nan Hua Primary School,20,0,1.319836638,103.761404
Nanyang Primary School,20,1,1.32111549,103.8064681
Pei Hwa Presbyterian Primary School,20,0,1.338055078,103.77610820000001
Red Swastika School,20,0,1.33349383,103.93437490000001
Rosyth School,20,0,1.372915796,103.87469320000001
Temasek Primary School,20,0,1.317716389,103.9456952
Methodist Girls' School,21,1,1.33286306,103.78336340000001
Rulang Primary School,22,0,1.346844456,103.7190098
Riverside Primary School,23,0,1.44710495,103.80192120000001
West Spring Primary School,23,0,1.389463118,103.76607729999999
Junyuan Primary School,24,0,1.347891544,103.9396469
Punggol Green Primary School,25,0,1.4018048730000001,103.89877290000001
Yu Neng Primary School,25,0,1.3339038090000002,103.9320341
Eunos Primary School,26,0,1.324388358,103.9043748
Pei Chun Public School,27,0,1.337288933,103.8554735
Anglo-Chinese School,28,1,1.31915766,103.83451600000001
Shuqun Primary School,29,0,1.34756849,103.721558
Westwood Primary School,29,0,1.3471546319999999,103.7005267
Ai Tong School,30,0,1.360736365,103.8330757
Fairfield Methodist School,32,1,1.300798691,103.7856922
Henry Park Primary School,32,0,1.316725811,103.7842083
Jurong Primary School,33,0,1.348684512,103.73297480000001
Juying Primary School,33,0,1.338951451,103.68783309999999
Radin Mas Primary School,33,0,1.274961612,103.82418
River Valley Primary School,33,0,1.294183475,103.8360189
Frontier Primary School,34,0,1.3366431220000001,103.6996828
Pasir Ris Primary School,34,0,1.372308619,103.9629189
Singapore Chinese Girls' School,34,1,1.321116435,103.8280244
Tao Nan School,34,0,1.3046315290000001,103.9112042
Blangah Rise Primary School,36,0,1.276130304,103.8086392
Jing Shan Primary School,36,0,1.3718926759999999,103.85181109999999
Xingnan Primary School,37,0,1.3426848759999999,103.687724
Gongshang Primary School,38,0,1.357348982,103.9488719
South View Primary School,38,0,1.381766725,103.74728979999999
Innova Primary School,39,0,1.429184592,103.7905571
Keming Primary School,39,0,1.3452450530000002,103.7562645
Woodlands Primary School,39,0,1.436746383,103.79177170000001
Princess Elizabeth Primary School,40,0,1.349194518,103.7409996
West Grove Primary School,40,0,1.3447121219999998,103.6989642
White Sands Primary School,40,0,1.365517813,103.9609482
Opera Estate Primary School,41,0,1.319968755,103.9237527
Woodgrove Primary School,41,0,1.43305806,103.7903896
CHIJ Primary,42,1,1.332818153,103.8419184
Chongzheng Primary School,42,0,1.350594769,103.9512252
Angsana Primary School,43,0,1.348571433,103.951673
Evergreen Primary School,43,0,1.4441483590000002,103.7945453
Maha Bodhi School,43,1,1.328470866,103.90129870000001
Sengkang Green Primary School,43,0,1.3928392509999998,103.8751588
Bukit Panjang Primary School,44,0,1.373472192,103.7693175
Changkat Primary School,44,0,1.340208008,103.95218340000001
East Spring Primary School,44,0,1.353041046,103.96179709999998
North View Primary School,44,0,1.4279434030000002,103.84836829999999
Yangzheng Primary School,44,0,1.348972024,103.8683625
Ang Mo Kio Primary School,45,0,1.369092065,103.83904140000001
Holy Innocents' Primary School,45,1,1.366737841,103.89368409999999
Jurong West Primary School,45,0,1.3392437529999999,103.6988958
Kuo Chuan Presbyterian Primary School,45,1,1.349783074,103.8545292
Saint Gabriel's Primary School,45,1,1.349246034,103.862332
Anglo-Chinese School,46,1,1.31915766,103.83451600000001
Chongfu School,46,0,1.438462312,103.83907070000001
Fengshan Primary School,46,0,1.330324955,103.9318854
Guangyang Primary School,46,0,1.346042665,103.8492848
Jiemin Primary School,46,0,1.4276468519999999,103.8304804
Tampines Primary School,46,0,1.3504863980000001,103.9435731
Yumin Primary School,46,0,1.3514596030000001,103.9507161
Anderson Primary School,47,0,1.384665965,103.84123840000001
Canossa Catholic Primary School,47,1,1.32651106,103.8817569
Teck Ghee Primary School,47,0,1.365200631,103.8510322
Zhonghua Primary School,47,0,1.360166735,103.8696959
Casuarina Primary School,48,0,1.372789016,103.9572913
Hong Wen School,48,0,1.321689285,103.8576518
Qihua Primary School,48,0,1.442035966,103.78833979999999
Xinmin Primary School,48,0,1.371414726,103.88303909999999
Saint Anthony's Primary School,49,1,1.364639125,103.74929399999999
Tanjong Katong Primary School,49,0,1.305307371,103.9005317
CHIJ Our Lady of Good Counsel,50,1,1.357951427,103.8642502
Dazhong Primary School,50,0,1.3590589919999998,103.7481615
Saint Andrew's Junior School,50,1,1.331389131,103.86512890000002
First Toa Payoh Primary School,51,0,1.340526165,103.85566750000001
Kong Hwa School,51,0,1.311114219,103.88820940000001
Montfort Junior School,51,1,1.373937639,103.8896908
Zhenghua Primary School,51,0,1.3798023609999999,103.7691708
Canberra Primary School,52,0,1.4510640069999998,103.8159709
Elias Park Primary School,52,0,1.375033032,103.9453578
Fuhua Primary School,52,0,1.336403763,103.73666949999999
Park View Primary School,52,0,1.377770261,103.9396887
Admiralty Primary School,53,0,1.4426796169999998,103.80011440000001
Northland Primary School,53,0,1.421304044,103.8407929
Springdale Primary School,53,0,1.394958184,103.88989649999999
Alexandra Primary School,54,0,1.291299035,103.82394079999999
Huamin Primary School,54,0,1.4269977459999998,103.84420970000001
Marsiling Primary School,54,0,1.434423117,103.77369770000001
Si Ling Primary School,54,0,1.4326998659999999,103.78577879999999
Unity Primary School,54,0,1.40282339,103.7469934
Haig Girls' School,55,0,1.3117720590000002,103.90265550000001
Maris Stella High School,55,1,1.3421839569999998,103.8780964
Sembawang Primary School,55,0,1.445043645,103.8210215
Yew Tee Primary School,55,0,1.396961392,103.7511946
Yishun Primary School,55,0,1.433496399,103.83402740000001
Bendemeer Primary School,56,0,1.322208475,103.86535129999999
Damai Primary School,56,0,1.335351315,103.9212683
Saint Hilda's Primary School,56,1,1.349407043,103.9367872
Farrer Park Primary School,57,0,1.312504162,103.8509027
Oasis Primary School,57,0,1.40440927,103.9109964
Peiying Primary School,57,0,1.417408192,103.8302995
Townsville Primary School,57,0,1.3603626340000001,103.8541855
Cantonment Primary School,58,0,1.275505441,103.8399227
Nan Chiau Primary School,59,0,1.392064685,103.890925
Hougang Primary School,60,0,1.378039861,103.8811662
Punggol View Primary School,60,0,1.4053333140000002,103.9053865
Queenstown Primary School,60,0,1.295988446,103.8079019
Saint Joseph's Institution Junior,60,1,1.317702253,103.84567009999999
Bukit View Primary School,61,0,1.3459452459999999,103.75358879999999
Greenwood Primary School,61,0,1.4401104980000001,103.80462929999999
Kranji Primary School,61,0,1.3939100309999999,103.74741540000001
Punggol Cove Primary School,61,0,1.411563565,103.8989704
Woodlands Ring Primary School,61,0,1.434769705,103.7978411
Meridian Primary School,62,0,1.3759708309999998,103.9351432
Rivervale Primary School,62,0,1.393573805,103.9047183
Stamford Primary School,62,0,1.3040910829999999,103.857393
Zhangde Primary School,62,0,1.28449822,103.826149
Lakeside Primary School,63,0,1.3383757029999999,103.7180505
Mayflower Primary School,63,0,1.376398737,103.8431658
Xinghua Primary School,63,0,1.357996547,103.89021640000001
Corporation Primary School,64,0,1.35148549,103.70757840000002
Punggol Primary School,64,0,1.3782006230000001,103.89475329999999
West View Primary School,64,0,1.383590574,103.7602891
Bukit Timah Primary School,65,0,1.337749867,103.76685529999999
Ngee Ann Primary School,65,1,1.305540153,103.9177554
Saint Margaret's Primary School,65,1,1.3244697509999999,103.8816233
Yio Chu Kang Primary School,65,0,1.3778227090000001,103.88556870000001
Yuhua Primary School,65,0,1.3429198180000002,103.74086109999999
CHIJ Our Lady Queen of Peace,66,1,1.366758014,103.7676948
De La Salle School,66,1,1.395071916,103.74344359999999
Endeavour Primary School,66,0,1.45417629,103.81742729999999
Gan Eng Seng Primary School,66,0,1.285955393,103.8152282
Greenridge Primary School,66,0,1.3858737540000001,103.7678146
Pioneer Primary School,66,0,1.3487209269999998,103.6948679
Telok Kurau Primary School,66,0,1.330913472,103.9113491
CHIJ,67,1,1.276029248,103.8223439
Fernvale Primary School,67,0,1.389979408,103.874101
North Spring Primary School,67,0,1.3875282359999999,103.903513
Chua Chu Kang Primary School,68,0,1.377743283,103.7418605
Edgefield Primary School,68,0,1.400297835,103.9074305
Lianhua Primary School,68,0,1.3541550690000002,103.7542104
Qifa Primary School,69,0,1.312621542,103.75703
CHIJ,70,1,1.276029248,103.8223439
Poi Ching School,70,0,1.358087001,103.93535250000001
Palm View Primary School,71,0,1.3838407640000001,103.8912151
Tampines North Primary School,71,0,1.36069172,103.9489368
Beacon Primary School,72,0,1.3842366769999999,103.77375440000002
Compassvale Primary School,72,0,1.3945298309999998,103.8978648
Fuchun Primary School,72,0,1.430639768,103.77817519999999
Concord Primary School,73,0,1.380411513,103.7361428
Teck Whye Primary School,73,0,1.383558303,103.75368279999999
Bedok Green Primary School,74,0,1.323996276,103.93774499999999
Naval Base Primary School,74,0,1.4162801530000002,103.8387977
Raffles Girls' Primary School,74,0,1.3300739190000002,103.8062213
Saint Stephen's School,74,1,1.318816206,103.91752609999999
Anchor Green Primary School,75,0,1.390662478,103.8872561
Clementi Primary School,75,0,1.315808563,103.76305479999999
Kheng Cheng School,75,0,1.337407636,103.84776109999999
Paya Lebar Methodist Girls' School,75,1,1.3508051280000002,103.8855866
CHIJ Our Lady of The Nativity,76,1,1.373174017,103.89765940000001
Geylang Methodist School,78,1,1.317658971,103.8825037
North Vista Primary School,79,0,1.382893394,103.8958542
New Town Primary School,82,0,1.299811388,103.7999648
Waterway Primary School,82,0,1.39915421,103.9186708
Cedar Primary School,83,0,1.3356412229999999,103.8754913
Fern Green Primary School,83,0,1.397620783,103.88021009999999
Marymount Convent School,83,0,1.340427023,103.839899
Xishan Primary School,83,0,1.433501455,103.83828929999999
Pei Tong Primary School,84,0,1.316148017,103.76757629999999
Saint Anthony's Canossian Primary School,84,1,1.334806855,103.9412089
Wellington Primary School,85,0,1.451933871,103.82232059999998
Seng Kang Primary School,87,0,1.389250457,103.89952790000001
Boon Lay Garden Primary School,90,0,1.3428467080000002,103.712969
Horizon Primary School,91,0,1.400008815,103.9130715
Ahmad Ibrahim Primary School,92,0,1.4336812069999998,103.8329243
Mee Toh School,93,1,1.394853563,103.90857259999999
Northoaks Primary School,93,0,1.456666873,103.81361
Greendale Primary School,106,0,1.396402656,103.912566
Valour Primary School,110,0,1.406871355,103.8989109
